,Postal code,Borough,Latitude,Longitude,location,Neighborhood
111,M5N,Central Toronto,43.7116948,-79.41693559999999,"(43.7116948, -79.41693559999999)",Roselawn
112,M6N,York,43.67318529999999,-79.48726190000001,"(43.67318529999999, -79.48726190000001)",Runnymede 
113,M6N,York,43.67318529999999,-79.48726190000001,"(43.67318529999999, -79.48726190000001)", The Junction North
114,M9N,York,43.706876,-79.51818840000001,"(43.706876, -79.51818840000001)",Weston
115,M1P,Scarborough,43.7574096,-79.27330400000001,"(43.7574096, -79.27330400000001)",Dorset Park 
116,M1P,Scarborough,43.7574096,-79.27330400000001,"(43.7574096, -79.27330400000001)", Wexford Heights 
117,M1P,Scarborough,43.7574096,-79.27330400000001,"(43.7574096, -79.27330400000001)", Scarborough Town Centre
118,M2P,North York,43.752758299999996,-79.4000493,"(43.752758299999996, -79.4000493)",York Mills West
119,M4P,Central Toronto,43.7127511,-79.3901975,"(43.7127511, -79.3901975)",Davisville North
120,M5P,Central Toronto,43.6969476,-79.41130720000001,"(43.6969476, -79.41130720000001)",Forest Hill North & West
121,M6P,West Toronto,43.6616083,-79.46476329999999,"(43.6616083, -79.46476329999999)",High Park 
122,M6P,West Toronto,43.6616083,-79.46476329999999,"(43.6616083, -79.46476329999999)", The Junction South
123,M9P,Etobicoke,43.696319,-79.53224240000002,"(43.696319, -79.53224240000002)",Westmount
124,M1R,Scarborough,43.750071500000004,-79.2958491,"(43.750071500000004, -79.2958491)",Wexford 
125,M1R,Scarborough,43.750071500000004,-79.2958491,"(43.750071500000004, -79.2958491)", Maryvale
126,M2R,North York,43.7827364,-79.4422593,"(43.7827364, -79.4422593)",Willowdale
127,M4R,Central Toronto,43.7153834,-79.40567840000001,"(43.7153834, -79.40567840000001)",North Toronto West
128,M5R,Central Toronto,43.6727097,-79.40567840000001,"(43.6727097, -79.40567840000001)",The Annex 
129,M5R,Central Toronto,43.6727097,-79.40567840000001,"(43.6727097, -79.40567840000001)", North Midtown 
130,M5R,Central Toronto,43.6727097,-79.40567840000001,"(43.6727097, -79.40567840000001)", Yorkville
131,M6R,West Toronto,43.6489597,-79.456325,"(43.6489597, -79.456325)",Parkdale 
132,M6R,West Toronto,43.6489597,-79.456325,"(43.6489597, -79.456325)", Roncesvalles
133,M7R,Mississauga,43.6369656,-79.61581899999999,"(43.6369656, -79.61581899999999)",Canada Post Gateway Processing Centre
134,M9R,Etobicoke,43.6889054,-79.55472440000001,"(43.6889054, -79.55472440000001)",Kingsview Village 
135,M9R,Etobicoke,43.6889054,-79.55472440000001,"(43.6889054, -79.55472440000001)", St. Phillips 
136,M9R,Etobicoke,43.6889054,-79.55472440000001,"(43.6889054, -79.55472440000001)", Martin Grove Gardens 
137,M9R,Etobicoke,43.6889054,-79.55472440000001,"(43.6889054, -79.55472440000001)", Richview Gardens
138,M1S,Scarborough,43.7942003,-79.26202940000002,"(43.7942003, -79.26202940000002)",Agincourt
139,M4S,Central Toronto,43.7043244,-79.3887901,"(43.7043244, -79.3887901)",Davisville
140,M5S,Downtown Toronto,43.6626956,-79.4000493,"(43.6626956, -79.4000493)",University of Toronto 
141,M5S,Downtown Toronto,43.6626956,-79.4000493,"(43.6626956, -79.4000493)", Harbord
142,M6S,West Toronto,43.6515706,-79.4844499,"(43.6515706, -79.4844499)",Runnymede 
143,M6S,West Toronto,43.6515706,-79.4844499,"(43.6515706, -79.4844499)", Swansea
144,M1T,Scarborough,43.7816375,-79.3043021,"(43.7816375, -79.3043021)",Clarks Corners 
145,M1T,Scarborough,43.7816375,-79.3043021,"(43.7816375, -79.3043021)", Tam O'Shanter 
146,M1T,Scarborough,43.7816375,-79.3043021,"(43.7816375, -79.3043021)", Sullivan
147,M4T,Central Toronto,43.6895743,-79.38315990000001,"(43.6895743, -79.38315990000001)",Moore Park 
148,M4T,Central Toronto,43.6895743,-79.38315990000001,"(43.6895743, -79.38315990000001)", Summerhill East
149,M5T,Downtown Toronto,43.6532057,-79.4000493,"(43.6532057, -79.4000493)",Kensington Market 
150,M5T,Downtown Toronto,43.6532057,-79.4000493,"(43.6532057, -79.4000493)", Chinatown 
151,M5T,Downtown Toronto,43.6532057,-79.4000493,"(43.6532057, -79.4000493)", Grange Park
152,M1V,Scarborough,43.8152522,-79.2845772,"(43.8152522, -79.2845772)",Milliken 
153,M1V,Scarborough,43.8152522,-79.2845772,"(43.8152522, -79.2845772)", Agincourt North 
154,M1V,Scarborough,43.8152522,-79.2845772,"(43.8152522, -79.2845772)", Steeles East 
155,M1V,Scarborough,43.8152522,-79.2845772,"(43.8152522, -79.2845772)", L'Amoreaux East
156,M4V,Central Toronto,43.68641229999999,-79.4000493,"(43.68641229999999, -79.4000493)",Summerhill West 
157,M4V,Central Toronto,43.68641229999999,-79.4000493,"(43.68641229999999, -79.4000493)", Rathnelly 
158,M4V,Central Toronto,43.68641229999999,-79.4000493,"(43.68641229999999, -79.4000493)", South Hill 
159,M4V,Central Toronto,43.68641229999999,-79.4000493,"(43.68641229999999, -79.4000493)", Forest Hill SE 
160,M4V,Central Toronto,43.68641229999999,-79.4000493,"(43.68641229999999, -79.4000493)", Deer Park
161,M5V,Downtown Toronto,43.6289467,-79.3944199,"(43.6289467, -79.3944199)",CN Tower 
162,M5V,Downtown Toronto,43.6289467,-79.3944199,"(43.6289467, -79.3944199)", King and Spadina 
163,M5V,Downtown Toronto,43.6289467,-79.3944199,"(43.6289467, -79.3944199)", Railway Lands 
164,M5V,Downtown Toronto,43.6289467,-79.3944199,"(43.6289467, -79.3944199)", Harbourfront West 
165,M5V,Downtown Toronto,43.6289467,-79.3944199,"(43.6289467, -79.3944199)", Bathurst Quay 
166,M5V,Downtown Toronto,43.6289467,-79.3944199,"(43.6289467, -79.3944199)", South Niagara 
167,M5V,Downtown Toronto,43.6289467,-79.3944199,"(43.6289467, -79.3944199)", Island airport
168,M8V,Etobicoke,43.6056466,-79.50132070000001,"(43.6056466, -79.50132070000001)",New Toronto 
169,M8V,Etobicoke,43.6056466,-79.50132070000001,"(43.6056466, -79.50132070000001)", Mimico South 
170,M8V,Etobicoke,43.6056466,-79.50132070000001,"(43.6056466, -79.50132070000001)", Humber Bay Shores
171,M9V,Etobicoke,43.739416399999996,-79.5884369,"(43.739416399999996, -79.5884369)",South Steeles 
172,M9V,Etobicoke,43.739416399999996,-79.5884369,"(43.739416399999996, -79.5884369)", Silverstone 
173,M9V,Etobicoke,43.739416399999996,-79.5884369,"(43.739416399999996, -79.5884369)", Humbergate 
174,M9V,Etobicoke,43.739416399999996,-79.5884369,"(43.739416399999996, -79.5884369)", Jamestown 
175,M9V,Etobicoke,43.739416399999996,-79.5884369,"(43.739416399999996, -79.5884369)", Mount Olive 
176,M9V,Etobicoke,43.739416399999996,-79.5884369,"(43.739416399999996, -79.5884369)", Beaumond Heights 
177,M9V,Etobicoke,43.739416399999996,-79.5884369,"(43.739416399999996, -79.5884369)", Thistletown 
178,M9V,Etobicoke,43.739416399999996,-79.5884369,"(43.739416399999996, -79.5884369)", Albion Gardens
179,M1W,Scarborough,43.799525200000005,-79.3183887,"(43.799525200000005, -79.3183887)",Steeles West 
180,M1W,Scarborough,43.799525200000005,-79.3183887,"(43.799525200000005, -79.3183887)", L'Amoreaux West
181,M4W,Downtown Toronto,43.6795626,-79.37752940000001,"(43.6795626, -79.37752940000001)",Rosedale
